티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
105740,디케이락,2561925,2561925,0,30945198480,30945198480,0
263020,디케이앤디,2682150,2682150,0,8291941235,8291941235,0
290550,디케이티,808684,808684,0,6659569110,6659569110,0
187220,디티앤씨,12987132,12987132,0,67871166050,67871166050,0
383930,디티앤씨알오,2332654,2332654,0,23063450390,23063450390,0
163430,디피코,252021,252021,0,1046254595,1046254595,0
131180,딜리,1500142,1500142,0,2286579000,2286579000,0
315640,딥노이드,360503,360503,0,2256659760,2256659760,0
317120,라닉스,516896,516896,0,2765291035,2765291035,0
042510,라온시큐어,2236666,2236666,0,5101612700,5101612700,0
232680,라온테크,1502622,1502622,0,13773252690,13773252690,0
300120,라온피플,3659415,3659415,0,17641953725,17641953725,0
171120,라이온켐텍,801841,801841,0,6369589520,6369589520,0
069540,라이트론,2113519,2113519,0,6132560700,6132560700,0
347700,라이프시맨틱스,528774,528774,0,2381742875,2381742875,0
214260,라파스,572675,572675,0,9910009000,9910009000,0
403360,라피치,6786,6786,0,79075600,79075600,0
115390,락앤락,1356444,1356444,0,8810723270,8810723270,0
200350,래몽래인,16198262,16198262,0,471536144000,471536144000,0
171010,램테크놀러지,1343751,1343751,0,8198926360,8198926360,0
084650,랩지노믹스,15455938,15455938,0,99639172200,99639172200,0
217500,러셀,4909311,4909311,0,14772714190,14772714190,0
092590,럭스피아,2215,2215,0,3082440,3082440,0
141080,레고켐바이오,11912519,11912519,0,499967236100,499967236100,0
038390,레드캡투어,172432,172432,0,3342984150,3342984150,0
294140,레몬,1630400,1630400,0,6096366150,6096366150,0
228670,레이,3039020,3039020,0,69506457550,69506457550,0
228850,레이언스,2071337,2071337,0,24086757950,24086757950,0
412350,레이저쎌,1903365,1903365,0,13417090220,13417090220,0
281740,레이크머티리얼즈,6284542,6284542,0,29635725025,29635725025,0
277810,레인보우로보틱스,5137645,5137645,0,170061186400,170061186400,0
179720,렌딩머신,1886,1886,0,10778105,10778105,0
215100,로보로보,17700516,17700516,0,118585828040,118585828040,0
090360,로보스타,1191553,1191553,0,23717930050,23717930050,0
238500,로보쓰리,1955854,1955854,0,1064021091,1064021091,0
108490,로보티즈,5028720,5028720,0,122818057450,122818057450,0
900260,로스웰,11724259,11724259,0,3689053396,3689053396,0
223220,로지스몬,6670,6670,0,2259658,2259658,0
067730,로지시스,435695,435695,0,1868394890,1868394890,0
071280,로체시스템즈,3330327,3330327,0,27784480450,27784480450,0
032350,롯데관광개발,18048193,18048193,0,236514931600,236514931600,0
089860,롯데렌탈,722125,722125,0,20589176650,20589176650,0
330590,롯데리츠,3486630,3486630,0,14160331620,14160331620,0
000400,롯데손해보험,2383831,2383831,0,3428979180,3428979180,0
023530,롯데쇼핑,1602256,1602256,0,142583034500,142583034500,0
004000,롯데정밀화학,1280824,1280824,0,76408371600,76408371600,0
286940,롯데정보통신,488978,488978,0,11411844600,11411844600,0
280360,롯데제과,338575,338575,0,41752769500,41752769500,0
004990,롯데지주,2892267,2892267,0,93601238350,93601238350,0
00499K,롯데지주우,6459,6459,0,280172950,280172950,0
005300,롯데칠성,711779,711779,0,120376430000,120376430000,0
005305,롯데칠성우,28497,28497,0,2113667500,2113667500,0
011170,롯데케미칼,2759779,2759779,0,502671158000,502671158000,0
071840,롯데하이마트,734829,734829,0,9845176200,9845176200,0
328130,루닛,2382919,2382919,0,67747182550,67747182550,0
038060,루멘스,1893090,1893090,0,2079813840,2079813840,0
162120,루켄테크놀러지스,38502,38502,0,140874690,140874690,0
253610,루트락,2125,2125,0,4040755,4040755,0
085370,루트로닉,6210223,6210223,0,125346084050,125346084050,0
08537M,루트로닉3우C,980,980,0,27680050,27680050,0
060240,룽투코리아,26490984,26490984,0,82571591025,82571591025,0
058470,리노공업,983584,983584,0,160656144924,160656144924,0
039980,리노스,7977009,7977009,0,7877692868,7877692868,0
019570,리더스 기술투자,38120181,38120181,0,17454603763,17454603763,0
016100,리더스코스메틱,738076,738076,0,2282090735,2282090735,0
012700,리드코프,3983935,3983935,0,31999195350,31999195350,0
302550,리메드,3092859,3092859,0,43592652100,43592652100,0
377450,리파인,9756915,9756915,0,92138378790,92138378790,0
277070,린드먼아시아,4748000,4748000,0,21183955660,21183955660,0
042500,링네트,6961956,6961956,0,33140984890,33140984890,0
219420,링크제니시스,6620856,6620856,0,43503643410,43503643410,0
027740,마니커,5196055,5196055,0,6390313305,6390313305,0
195500,마니커에프앤지,1311544,1311544,0,4337288310,4337288310,0
357430,마스턴프리미어리츠,985036,985036,0,3606119436,3606119436,0
305090,마이크로디지탈,538903,538903,0,1952301125,1952301125,0
448780,마이크로엔엑스,1878,1878,0,10796310,10796310,0
098120,마이크로컨텍솔,1001302,1001302,0,5787238530,5787238530,0
147760,마이크로프랜드,1196429,1196429,0,6233175585,6233175585,0
377480,마인즈랩,13224584,13224584,0,215531104700,215531104700,0
