티커,BPS,PER,PBR,EPS,DIV,DPS
001725,0,0.0,0.0,0,7.38,4050
009270,2866,5.96,0.47,224,7.49,100
002700,1165,113.4,1.46,15,0.59,10
002870,2895,0.0,0.31,0,5.64,50
019170,6690,0.0,2.65,0,0.0,0
019175,0,0.0,0.0,0,0.0,0
055550,95206,4.11,0.36,8454,5.94,2065
004080,11398,15.54,1.23,901,1.79,250
102280,528,0.0,0.51,0,0.0,0
003410,3172,21.1,1.69,254,8.21,440
004770,2101,16.15,1.11,144,0.0,0
015540,69,0.0,92.9,0,0.0,0
403550,7565,0.0,1.7,0,0.0,0
004920,1240,0.0,1.71,0,0.0,0
112610,21158,0.0,3.09,0,0.77,500
308170,12061,101.91,1.11,131,0.0,0
008700,1270,10.96,1.56,181,0.0,0
002790,44015,45.74,0.68,657,0.68,205
00279K,0,0.0,0.0,0,3.26,667
002795,0,0.0,0.0,0,2.07,210
090430,82107,63.21,1.5,1949,0.55,680
090435,0,0.0,0.0,0,1.89,685
002030,548397,4.02,0.34,46012,2.03,3750
183190,24770,6.14,0.4,1631,2.25,225
002310,89799,3.59,0.42,10540,2.64,1000
012170,384,0.0,1.83,0,0.0,0
267850,14410,15.94,0.86,774,4.05,500
020560,9289,22.31,1.2,498,0.0,0
122900,11376,12.78,0.79,706,6.65,600
010780,46278,4.68,0.65,6426,0.0,0
139990,9135,166.08,0.93,51,0.0,0
001780,2639,24.39,1.43,155,0.0,0
018250,13672,34.26,1.58,632,1.43,310
161000,15115,13.92,1.15,1249,3.16,550
011090,748,0.0,0.8,0,0.0,0
137310,28794,1.3,0.41,8997,8.45,990
005850,35492,9.72,0.92,3360,1.84,600
010580,603,23.91,3.65,92,0.0,0
012750,45045,12.33,1.22,4467,4.54,2500
023960,1320,11.03,1.46,175,0.0,0
298690,1086,0.0,2.84,0,0.0,0
078520,4422,220.56,1.8,36,0.0,0
015260,741,0.0,2.34,0,0.0,0
007460,923,0.0,3.04,0,0.0,0
003060,720,30.84,0.81,19,0.0,0
244920,6449,1.88,0.65,2226,4.78,200
036570,157391,11.79,1.61,21456,2.64,6680
380440,0,0.0,0.0,0,0.0,0
085310,1457,7.75,0.72,136,0.0,0
097520,17477,20.88,1.54,1293,1.85,500
014440,8125,9.69,0.41,343,1.5,50
111770,64162,3.86,0.93,15377,2.58,1530
009970,176464,2.08,0.45,37988,3.87,3050
003520,491,0.0,4.95,0,0.0,0
000670,2272640,2.52,0.24,213453,1.86,10000
006740,3320,233.76,13.66,194,1.72,779
012280,1191,101.67,0.77,9,0.0,0
012160,2456,0.0,0.27,0,0.0,0
015360,112673,0.0,0.29,0,7.53,2500
007310,528433,4.61,0.7,80501,2.43,9000
002630,702,2.26,0.93,288,0.0,0
271560,64606,12.46,1.91,9926,0.77,950
001800,35982,8.91,0.42,1712,4.59,700
011690,518,0.0,1.66,0,0.0,0
070960,7847,0.0,0.41,0,0.0,0
316140,39505,2.71,0.29,4191,9.95,1130
010050,772,6.73,0.92,105,3.25,23
006980,67491,451.02,0.33,49,0.0,0
017370,5701,62.98,1.89,171,0.28,30
105840,7877,19.39,1.18,478,1.62,150
010400,13930,0.0,0.38,0,0.0,0
049800,5139,3.32,0.71,1092,1.38,50
016880,978,11.44,1.2,103,0.0,0
